ï»¿question_id,topic,question_text,option_a,option_b,option_c,option_d,correct_answer
25,×××××ª ×××××××ª,××× ××© ×××× ×××§×ª××ª ××××¨××ª ×¢×××××?,"××¢× ×××¨×, ××¢×¡××§ ×××× ××§××× ×××¨×× ××× ××¢×ª ×¡×××× ××","××¢× ×××¨× ××× × ×××××, ××© ×§×¦××´×ª",××¢× ×××¨× ×¤×××¨ ××××¨×××ª,××¢× ×××¨× ×××¨×× ×¨×§ ×¢× ×¨××××ª ××¢×××,A
26,×××××ª ×××××××ª,×××× ×××× ××¨×©×× ×××¦×¢ ×××¨×××ª ××× ××¢×ª ×¡×××× ×× ××××¨×?,××¢× ××××¨×,×§×¦××´×ª,×× ××,"××¢× ××§×¦××¢, ×§×¦××´×ª, ×××× × ××××××ª. ×××ª×× ××ª×¤×§××",D
27,×××××ª ×××××××ª,××× ××××¨××ª ××ª×¨ ××¢×××× ×× ××× ×× ×¤×××ª?,××××¨××ª ×× ××××¨× ×××× ××¢××××,××××¨××ª ××× ××ª××× ×××¡××," ××××¨××ª ×¤×××¢×ª ×××©×××, ××××××ª ××××¢××××ª","××××¨××ª ×× ×××¨ ××¢×××, ×¢× ××ª×¨×× ××ª.",C
28,×××××ª ×××××××ª,××× × ××¢×× ××¢×¨×××ª ×××§××××××ª ××¨××?,××× ××¢ ×ª××× ××ª × ×¤××¦××ª,××¦××¦× ××ª ××¢××××ª ××××××,×××¤×××ª ××ª ×××××¨××ª,×××¤×××ª ××ª ×× ××¦×××ª ×× ×¤×××ª ×©× ××× ××¢,A
29,×××××ª ×××××××ª,××××¢ ×× ×× × ×¦×¨×××× ×ª×§× ××¢×¨××ª ×× ×××× ××××××ª (39001)?, ××× ××¢×§×× ×××¨ ×× ××,××¢×§×× ×××¨ ×ª×¦×¨×××ª ××××§,××× ×××× ×××§×ª××ª ××ª×§× ××¡×× ××,××× ××¤×§× ×¢× ××¤×¢××××ª ××××¤×××ª ××ª ××¡×××× ×× ×©× ×ª××× ××ª,D
30,×××××ª ×××××××ª,××× ×ª×§× 19001 ××××¨ ××¢×××¨ ×××¨××× ×©××××¨× ××ª× ×¢×××?,××. ×¢× ××× ××××× ×××¢×§× ××××¨× ×××,××.,××× ×§×©×¨ ××× ×× ×× ××ª×§×,×× ×ª××× ×¨×§ ×××©×ª××©× ×××¨×,A
31,×××××ª ×××××××ª,××× ××× ×¢××¨ ××¢×× ×× ××§×¦××´×ª ×× ××©× ××¢×§× ××ª×¤×¢××?,××,××,×× ×§×©××¨ ××§×¦××´×ª,×× ××¢×¨××ª ××¡××× ××××× ××××¢×× ×× ×××× ×¦×× ×¨××,D
32,× ×××× ×¢×¡×§,×××××× ××¢×¡××§×ª ××××¤× ××©××¨ ×××©××× ×©××©×× ×××§× ×××¨××× ×××:,×¤××¢××ª ×¨×§ ×××¨××× ×¦××××¨×,×××××ª ×§×,×××××ª ×××,××× × ×©××ª×¤× ××§×××ª ××××××ª,B
33,× ×××× ×¢×¡×§,×××× ××××¨××× ×××©×¤××¢×× ×¢× ×××× ××©×××× ×××¤××§×× × ××¦× ××ª ××××¨× ×××:,×××¡×¨ ××¢×××× ×©× ××¢×××××,×¡××× ××ª×§×¦×× ×©× ×××¨×××,×©×××ª ××¤×¨×¡×× ×××ª×¢××××,×©××¨××ª× ××¢××¨ ×××§×××××,A
34,× ×××× ×¢×¡×§,××××× ×©××ª××¤××ª ×××:,×××£ ×¦××××¨× ×××¨×× ××ª ×× ××¡××××××ª ×××× ××× ×××,×××£ ×©×××¨×ª× ××¡×¤×§ ×©××¨××ª×× ××××¨×,×××£ ××¤××¢× ×¢× ×¢×§×¨×× ××ª ×©× ×©××ª××£ ××¢××¨× ×××××ª,×××¨× ×× ×××¨× ××××¨× ×××¨××× ××××××ª ××××¨×,C
35,× ×××× ×¢×¡×§,××××§×ª ×××¨××× ×××××××ª (×¢×¤×´× ××¡××¨ ××××¨×¨××) ×××:,"×××£, ×××××, ××××§×, ××××¨","××××¨, ×××£, ×××××, ××××§×","×××£, ××××¨, ××××§×, ×××××"," ×××××, ××××§×, ××××¨, ×××£",A
36,× ×××× ×¢×¡×§,××××××ª ××¤××§××:,××¨××× ×××× ×××ª× ×× ×¢× ××× ×× ×× ×××,××¨××× ×××× ×××ª× ×× ×¢× ××× ××¡×¤×¨ ×× ××××,××× ×¢××× ×××× ×× ×× ××©××¨ ××× ××××,××× ×× ×× ×××× ××¤××£ ××× ××××,C
37,× ×××× ×¢×¡×§,×××¨× ××¢×´×:,××¨××× ×××× ×××ª× ×× ×¢× ××× ×× ×× ×××,××¨××× ×××× ×××ª× ×× ×¢× ××× ××¡×¤×¨ ×× ××××,××× ×¢××× ×××× ×× ×× ××©××¨ ××× ××××,××× ×× ×× ×××× ××¤××£ ××× ××××,C
38,× ×××× ×¢×¡×§,××××× ×©××ª××¤××ª:,×××£ ×¦××××¨× ×××¨×× ××ª ×× ××¡××××××ª ×××× ××× ×××,×××£ ×©×××¨×ª× ××¡×¤×§ ×©××¨××ª×× ××××¨×,×××£ ××¤××¢× ×¢× ×¢×§×¨×× ××ª ×©× ×©××ª××£ ××¢××¨× ×××××ª,×××¨× ×× ×××¨× ××××¨× ×××¨××× ××××××ª ××××¨×,A
39,× ×××× ×¢×¡×§,××©×¤×¢×:,"×××××ª ××××× ××× ××©×× ×× ×¢×××, ××ª× ××××ª, ×××¨× ×©× ×©×× ××¢",×××××ª ××©××× ××¢×××××,×××××ª ×××©×× ×¦×××ª,×××××ª ××××× ××× ×××× ××ª ×¨×¦×× ××ª ×©× ×××××ª ×× × ×× ×¨×¦×× × ×××,C
40,× ×××× ×¢×¡×§,×¢××¦××:,"×××××ª ××××× ××× ××©×× ×× ×¢×××, ××ª× ××××ª, ×××¨× ×©× ×©×× ××¢",×××××ª ××©××× ××¢×××××,×××××ª ×××©×× ×¦×××ª,×××××ª ××××× ××× ×××× ××ª ×¨×¦×× ××ª ×©× ×××××ª ×× × ×× ×¨×¦×× × ×××,D
41,× ×××× ×¢×¡×§,××§××¨××ª ××¢××¦××:,×××©×××ª ×¡××××ª××ª ××××©×¨ ×× ×××××ª,"××¢×¨××ª ×©×¨×× ×××©××× ×××¨×××, ×××©× ×××§××¨××ª ××× ×¤××¨××¦××",×§××¨×× ××××§×× ××©×¤×¢× ×××¨×××,×× ××ª×©××××ª × ××× ××ª,D
42,× ×××× ×¢×¡×§,×××¨×××ª:,××¡××¨×ª ××× ×××©××× ×××¤××¤××,××¡××¨×ª ××× ×××©××× ××××× ××,××¡××¨×ª ××× ×¤××¨××¦×× ××××× ××,××¡××¨×ª ×××¨×××ª ××¢×××××,A
43,× ×××× ×¢×¡×§,×¨××××:,×¨×××× ××¡××××××ª ×××× ××× ×××,×¨×××× ××¡××××××ª ×××× ××¢×××××,××¢××¨×ª ×××§ ××ª×¤×§××× ××× ×× ×××¤××¤××,××¢××¨×ª ×××§ ××ª×¤×§××× ××¢××× ××× ××,C
44,× ×××× ×¢×¡×§,××× × ×¤××¨×××,××¢×¨××ª ×§×©×¨×× ×××©××ª ××× ××× ××× ××¢×××××,××¢×¨××ª ×§×©×¨×× ×××¨×ª××× ××× ××¢×××××,××× × ×××××¡×¡ ×¢× ××××§×ª ×¢×××× ××ª×¤×§×××× ×××××¨××,××× × ×××××¡×¡ ×¢× ××¢×¨××ª ×§×©×¨×× ×××¨×ª××× ×××§×¨××××,C
45,× ×××× ×¢×¡×§,××× × ××¤××¨×××,××¢×¨××ª ×§×©×¨×× ×××©××ª ××× ××× ××× ××¢×××××,××¢×¨××ª ×§×©×¨×× ×××¨×ª××× ××× ××¢×××××,××× × ×××××¡×¡ ×¢× ××××§×ª ×¢×××× ××ª×¤×§×××× ×××××¨××,××× × ×××××¡×¡ ×¢× ××¢×¨××ª ×§×©×¨×× ×××¨×ª××× ×××§×¨××××,D
46,× ×××× ×¢×¡×§,××¨××× ×¢×¡×§×,××¨××× ××¤××¢× ×××ª× ××××ª,××¨××× ×××¡×¤×§ ×©××¨××ª ××××¨×,××¨××× ××¤××¢× ××××¨××ª ×¨×××,××¨××× ×××¢×××ª ×× ×©×× ×¤×¨××××,C
47,×©××××ª ××××ª×××ª ××¢×§×¨×× ××ª ××××©×× ×ª××××¨ ×××××,××× ××××¨×ª ×ª××××¨?,××¢×¨××ª ×¢×××ª ×××××ª ××©××¨××ª ×××××,×ª××©×× ×××× ×¡××ª ××¤××× ×¦××××××ª ×©× ××¢×¡×§,×©××× ××××××ª ×¨××××××ª ××××,×ª×§×¦×× ×©× ×ª× ×× ×××× ××¢×¡×§,A
48,×©××××ª ××××ª×××ª ××¢×§×¨×× ××ª ××××©×× ×ª××××¨ ×××××,××× ×¡××× ××¢×××××ª ×××¨××××× ××ª××××¨ ×××××,×¢×××××ª ××××× ××¢×××××ª ×ª××××§×,×¢×××××ª ×§×××¢××ª ××¢×××××ª ××©×ª× ××ª,×¢×××××ª ××× ××¢×××××ª ×§××××××¨,×¢×××××ª ×ª×¤×¢×× ××¢×××××ª × ××××,B
49,×©××××ª ××××ª×××ª ××¢×§×¨×× ××ª ××××©×× ×ª××××¨ ×××××,×××× ×©××× ××ª×××× ×××××××ª ××××©×¤×¢××ª ××¢××§×¨ ×××××?,×©×××ª ×¢×××ª ××××¦×¢×ª ,×©×××ª ×ª××××¨ ××¤× ×××,×©×××ª ×ª××××¨ ××¤× ×¡×× ××××¢×,×©×××ª ×¤×××¡ ×¨×××,B
50,×©××××ª ××××ª×××ª ××¢×§×¨×× ××ª ××××©×× ×ª××××¨ ×××××,×××¦× ××××©× ×ª××××¨ ××¤× ×§××××××¨?,××××¨ = ×¢×××ª ××©×¢× * ××¡×¤×¨ ××©×¢××ª,××××¨ = ×¢×××ª ××§××××××¨ * ××¡×¤×¨ ××§××××××¨××,××××¨ = ×¢×××ª ××××¦×¢×ª ×©× ××× ×× ×¡××¢××ª,××××¨ = ×¢×××ª ×××××ª + ×××× ×¨×××,B
51,×©××××ª ××××ª×××ª ××¢×§×¨×× ××ª ××××©×× ×ª××××¨ ×××××,××× ××ª×¨×× ××¨××× ×©× ×©×××ª ×¤×××¡ ×¨×××?,×¤×©×××ª ××ª××××¨,×©×××¨× ×¢× ×¨××××××ª ×§×××¢,××ª××× ×××××××ª ×§×¦×¨××ª ××××,×××©×× ××¤× ×©×¢××ª ×¢××××,B
52,×©××××ª ××××ª×××ª ××¢×§×¨×× ××ª ××××©×× ×ª××××¨ ×××××,×××× ×××¨× ××× × ××©×¤××¢ ×¢× ×¢×××ª ××××××?,×ª××××§× ×××××,××× ×××,××××ª ×××××××ª ×××××©×××ª,××××× ××ª×©××××× × ××¡×¤××,C
53,×©××××ª ××××ª×××ª ××¢×§×¨×× ××ª ××××©×× ×ª××××¨ ×××××,××× × ××¡××ª ×××©×× ××¤× ×¢×××ª ××××¦×¢×ª?,×¢×××ª ××××¦×¢×ª = ×¡× ×× ××¢×××××ª/ ××¡×¤×¨ ×××××××ª,×¢×××ª ××××¦×¢×ª = ×¢×××ª ××§××××××¨ * ××¡×¤×¨ ××§××××××¨××,×¢×××ª ××××¦×¢×ª = ×¢×××ª ××©×¢× * ××¡×¤×¨ ××©×¢××ª,×¢×××ª ××××¦×¢×ª = ×¢×××ª ×××××ª + ×××× ×¨×××,A
54,×©××××ª ××××ª×××ª ××¢×§×¨×× ××ª ××××©×× ×ª××××¨ ×××××,×××× ×©××× ××ª×××× ×××××××ª ××¢×××ª ×××¤× ×§×××¢?,×©×××ª ×¢×××ª ××¡××¡××ª,×©×××ª ×ª××××¨ ××¤× ×××,×©×××ª ×¤×××¡ ×¨×××,×©×××ª ×ª××××¨ ××¤× × ×¤×,A
55,×©××××ª ××××ª×××ª ××¢×§×¨×× ××ª ××××©×× ×ª××××¨ ×××××,××× ×××¨×ª ××ª××××¨ ××ª××¨××ª×?,×©××¤××¨ ×¨××××××ª ×§×××¢×,×××××ª ××××ª ×××××××ª,××ª×××ª ××ª××××¨ ××©××§ ×××ª××¨××ª, ××¤××ª×ª ×¢×××××ª ×§×××¢××ª,C
56,×©××××ª ××××ª×××ª ××¢×§×¨×× ××ª ××××©×× ×ª××××¨ ×××××,×××× ××× ××××××× ××¡×××¢ ××ª×××× ××ª××××¨?,××¢×¨××ª × ×××× ×××××××ª,×ª××× ××ª ×× ×××× ××× ×××,××¢×¨×××ª ××§×¨×ª ××××,××× ×©××××§ ×××××××××,A
57,×©×× ××¢ ××××´×¡,×× ×¨×©×× ×× ××× ××¨×× ×××¨×©× ××××××ª ××××´×¡?,× ×× ×©×¢××¨ ×××¦××× ×§××¨×¡ ×××¤×× ×××××´×¡,× ×× ××¢× ×¨××©××× × ×××× ×ª×§×£,× ×× ×××¦× ××¨××××ª ×ª×§××,×× ××ª×©××××ª × ××× ××ª,D
58,×©×× ××¢ ××××´×¡,×× ×¦×¨×× ×××××ª ××¨×× ×××©×¨ ××××××× ××××´×¡?,×©××©××ª ××¨×× ×ª×§×× ××ª,×××× × ××¡×£ (×¨××¨××) ×ª×§××,"×××§, ×¨××©××× ××ª ××ª××§×£, ××¨×××¡ ××××××ª ×××××¨ ×××××",×¤× ×¡ ××××× ×ª×§××,C
59,×©×× ××¢ ××××´×¡,××× × ××¡×¢×× ×××ª×¨ ×××¡××¢ ××¨×× ×××××× ××××´×¡?,××¤× ××¨×©×× ××¨××©××× ××¨××,××¡××¨ ×××¡××¢ × ××¡×¢×× ××¨×× ×××××× ××××´×¡,××¤× ××¡×¤×¨ ×××¡×××ª ×××©×××,× ××¡×¢ ××× - ×¢×××¨ × ×× (×¡××) ××××,B
60,×©×× ××¢ ××××´×¡,××ª× ×××ª×¨ ××ª×××§ ×¨×× ×××××× ××××´×¡?,×¨×§ ×××©×¨ ××××¢× ×§×©××¨ ×××,×¨×§ ×××©×¨ ××××¢× ××××× ××××××,×¨×§ ××××××ª ××××××× ××××¨×× ××¢××¨×××,××¡××¨ ××ª×××§ ×¢× ×××¢× ××××´×¡,D
61,×©×× ××¢ ××××´×¡,××× ××××× ×/×× ×× ××× ×××¨ ×¨×©×× ××¤×¨××§ ×××¢× ××××´×¡?,×¨×§ ××××× ××× ×¨××©××× ×××××,××× ×××ª××× ××¤×¨××§× ××¤× × ×× ××/ ××××¨××× ×××§××,×¨×§ ××××¡× ×××××¢× ××××¨×©× ×××××´×¡,×× ××ª×©××××ª × ××× ××ª,D
62,×©×× ××¢ ××××´×¡,××× ×××¢× ××¢××¨×?,××× ×××¢× ×©× ××××××ª ×©×× ××ª ×××××¨×× ×©×× ××,××× ×××¢× ××¢××¨× ×©××××××× ×××ª× ×××××××ª ×ª×¢×¨××××ª,××× ××××××ª ×©××ª××© ×¡××¨ ××¢××¡×ª×,×××× ×××× ××××× ×××¢×¨×× ×××× × ×××¢× ××¢××¨×,A
63,×©×× ××¢ ××××´×¡,×× ××©×× ××¢×©××ª ××¤× × ××¢×× ×ª ×××§ ×××××××ª?,××©××¨×¨ ××ª ×©×¡×ª××× ×××××××,××©×××£ ××ª ×××××××ª ××××,×××××§ ×××¥ ×××××¨ ×××××××,××××¨ ××ª ××× ××××¨×§×,D
64,×©×× ××¢ ××××´×¡,×××§×¨× ×©× ×ª××× × ×©×× ××¢××¨× ×¨×× ×××©× ×¢ ××××´×¡ ××××§:,××¡××¨ ×××¤×¢×× ×××©××¨× ×§×©×¨ ××××¤×× ××,××© ×××¨×××§ ××ª ××× ×©×× ×××ª××× ×,××© ×××©×ª××© ××¦××× ×××××××ª,×× ××ª×©××××ª × ××× ××ª,D
65,×©×× ××¢ ××××´×¡,×× ××××¨ ×©×× ×××¨×× (×ª××¨××¨) 68 ××³?,××× ××¡× ×××©××××ª ××××,××× ××¡× ×××©××××ª ××¡××¨×,××× ×× ××¡× ××× ×¡××× ×¨×× ×××××× ××××´×¡,××× ××©××¢××ª ××¨×× ×××××× ××××´×¡,D
66,×©×× ××¢ ××××´×¡,×× ××¡×¤×¨ ××ª×§× × ××©×××× ×©××××¨×× ×××××ª ××¨×× ×××××× ××××´×¡?,××ª×§× 2 ×××××¨ ××××,××ª×§× ×××¤× ×× ××××,××× ×¦××¨× ×××ª×§× × ×©××××,3 ××ª×§× × ×©×××× ××¦××× ×××©×××ª ××××××¨,D
67,×©××××ª ×¨×× ××××××,×¤×¨× ×¢××¡××§×× ××¡××¨×× ×¢× ××©×××,×××ª×¨ ××©××× ×¨×× ××¢×¡××§ ××× ××§×¦××¢ ×× ××¡×£ ××©××××ª ×¨××,××¡××¨ ××©××× ×¨×× ××¢×¡××§ ×××£ ××§×¦××¢ ×××¨ ××× ×¨×§ ××©××××ª ×¨××,"×¢××¡××§×× ××××××, ×ª×××× ×××××¨×ª ×¨××, ×× ×× ××§×¦××¢× ××××¡×, ×§×¦×× ××××××ª, ×× ×¢××¡××§ ××¢××× ×××¢××× ××ª ××©××× ×× ×××× ×¢× ××× ××",×××ª×¨ ××¢×¡××§ ×¨×§ ××©××××ª ×¨×× ××¢×¡×§× ×××××,C
68,×©××××ª ×¨×× ××××××,××× ×××ª×¨ ××¢×¡××§ ××©××××ª ×¨××?,×× ×××,×¨×§ ×× ×©×××××¨ ××ª ×¢×¦×× ×©××× ×¨××,×× ×©××× ×¨×××© ×××× ××¢×¡××§ ×× ××©××××ª ×¨××,×× ××¢×¡××§ ××× ××©××××ª ×¨×× ××× ×× ×¨×©×× ××¤× ×§×¡ ×©××× ××¨×× ××××× ×ª×¢××× ××ª××§×£,D
