question_id,topic,question_text,option_a,option_b,option_c,option_d,correct_answer
11,סיכונים תעסוקתיים וכשירות רפואית,מהו גיליון מידע לסיכונים תעסוקתיים?,גיליון מידע הוא גיליון אשר מודיע על כמות עבירות התנועה,גיליון מידע הוא מידע רפואי לרופא,גיליון מידע הוא מידע רפואי לאחות, גיליון מידע הוא מידע בדבר הסיכונים התעסוקתיים במקצוע,D
12,סיכונים תעסוקתיים וכשירות רפואית,מהם הסיכונים העיקריים בעיסוק הנהיגה?,"תאונות דרכים, תיקוני רכב בדרך, אלימות פיזית, כאבים עקב ישיבה ממושכת","תאונה חזית אחור, תיקוני רכב, אלימות פיזית, כאבים עקב ישיבה ממושכת","אלימות פיזית, כאבים עקב ישיבה ממושכת, החלפת מטען בדרך, תאונות דרכים קלות","החלפת מטען בדרך, תיקוני רכב בדרך, אלימות פיזית, כאבים עקב ישיבה ממושכת",A
13,סיכונים תעסוקתיים וכשירות רפואית,בחר את המשפט הנכון והיחיד,"ארגונומיה עוסקת - בישיבה נכונה, בכיסא הנהג, בסוג הרכב","ארגונומיה עוסקת - בסוג הרכב, בכיסא הנהג, הנהג","ארגונומיה עוסקת - בנהג, בסוג הרכב, בסביבה","ארגונומיה עוסקת - בנהג, בכיסא, בסביבה",C
14,סיכונים תעסוקתיים וכשירות רפואית,מהם הסיכונים הפיזיקליים בנהיגה?,"חשיפה לרעש, קרינה, רעידות, אבק","חשיפה לרעש, קרינה, רעידות, שינויים פתאומיים","חשיפה לרעש, קרינה, רעידות, זיהום","חשיפה לרעש, קרינה, רעידות, כאבי גב",B
15,סיכונים תעסוקתיים וכשירות רפואית,מהם הסיכונים הכימיים בנהיגה?,"חשיפה לאבק, חומרים כימיים, נוזלים ברכב, אדי בנזין או סולר","חשיפה לרעש, אבק, חומרים כימיים, אדי בנזין או סולר","חשיפה לזיהום, אבק, חומרים כימייםֿ אדי בנזין או סולר","חשיפה לכאבי גב, אבק, חומרים כימיים, אדי בנזין או סולר",A
16,סיכונים תעסוקתיים וכשירות רפואית,גיליון מידע לסיכון תעסוקתי מיועד?,רופאים ואחיות תעסוקתי,ממונה בטיחות בעבודה,קצין בטיות בעבודה,כל התשובות נכונות,D
17,סיכונים תעסוקתיים וכשירות רפואית,מהי ההגדרה ל״רכב מסחרי״?,רכב המונע בכוח מכני מכל צורה שהיא,רכב שציוד עבודה מורכב עליו באופן קבוע,רכב המשמש או מיועד לשמש להובלת משא,רכב מנועי שמותקנות עליו מערכות לנהיגה עצמית,C
18,סיכונים תעסוקתיים וכשירות רפואית,מהם סיכונים תעסוקתיים לנהג רכב כבד?,סיכונים הקשורים לחומרים כימיים,סיכונים הקשורים לבעיות פיזיקליות,סיכונים הקשורים לבעיות ארגונומיות,כל התשובות נכונות,D
19,סיכונים תעסוקתיים וכשירות רפואית,מהו גורם סיכון?,מצב או פעולה אשר יש פוטנציאל לגרימת פגיעה או מחלה באדם,מצב או פעולה אשר הנהג יבצע ולא יקרה כלום,מצב או פעולה אשר הנהג יבצע והנוסע שאיתו ייפגע,אף תשובה אינה נכונה,A
20,סיכונים תעסוקתיים וכשירות רפואית,מהו מפגע?,מצב שבו הנהג יבצע בלימת חירום,מצב שבו הנהג יגרום לתאונה,מצב או מכשול קיים ויגרום לפגיעה בבריאות האדם או מזק לרכוש או לסביבה,אף תשובה אינה נכונה,C
21,סיכונים תעסוקתיים וכשירות רפואית,מתי לא נוכל לנהוג ברכב?,כאשר הנהג תחת משקאות משכרים,כל התשובות נכונות,כאשר הנהג תחת חולשה או ליקוי גופני,כאשר הנהג במצב השולל ממנו את השליטה ברכב,B
22,איכות ובטיחות,מהו כלי העזר היעיל לניהול ציי רכב?,סרגל כלים,כלי עבודה,ארגז כלים מקצועי,מחשב ככלי עזר ומצבת רכבים (XL לדוגמא),D
23,איכות ובטיחות,האם איכות נמדדדת בתחרות?,כן ,לא,"כן, איכות ותחרות גורמים ללקוחות חוזרים",תחרות זה לא מעניין,C
24,איכות ובטיחות,האם בטיחות לכל שיקול אחר?,כן,לא ,בטיחות קודמת לכל שיקול אחר,בטיחות זה חשוב,C
25,איכות ובטיחות,האם יש חובה חוקתית בהדרכת עובדים?,"בעל חברה, מעסיק חייב לקיים הדרכה ומניעת סיכונים","בעל חברה אינו מחויב, יש קצב״ת",בעל חברה פטור מהדרכות,בעל חברה אחראי רק על רווחת העובד,A
26,איכות ובטיחות,מיהו האדם הרשאי לבצע הדרכות ומניעת סיכונים בחברה?,בעל החברה,קצב״ת,מנהל,"בעל מקצוע, קצב״ת, ממונה בטיחות. בהתאם לתפקיד",D
27,איכות ובטיחות,האם מהירות יתר בעבודה זה טוב או פחות?,מהירות לא בהכרח טובה בעבודה,מהירות היא מתכון לאסון," מהירות פוגעת בחשיבה, באיכות וביעילות","מהירות זה דבר מעולה, עם יתרונות.",C
28,איכות ובטיחות,למה נועדו מערכות האקטיביות ברכב?,למנוע תאונות נפוצות,לצמצם את יעילות הבלימה,להפחית את המהירות,להפחית את הניצולת הנפחית של המנוע,A
29,איכות ובטיחות,מדוע אנחנו צריכים תקן מערכת לניהול בטיחות (39001)?, כדי לעקוב אחר הנהג,לעקוב אחר תצרוכת הדלק,אין חובה חוקתית לתקן מסוג זה,כדי לפקח על הפעילות ולהפחית את הסיכונים של תאונות,D
30,איכות ובטיחות,האם תקן 19001 אמור לעזור בארגון שבחברה אתה עובד?,כן. על ידי זיהוי ומעקב לאורך זמן,לא.,אין קשר בין הנהג לתקן,זה תלוי רק במשתמשי הדרך,A
31,איכות ובטיחות,האם כלי עזר יעיל גם לקצב״ת בנושא מעקב ותפעול?,כן,לא,מה קשור לקצב״ת,כל מערכת מסוגה יכולה להועיל לניהול ציי רכב,D
32,ניהול עסק,היחידה העסוקת באופן ישיר במשימה שלשמה הוקם הארגון היא:,פועלת רק בארגון ציבורי,יחידת קו,יחידת מטה,אינה שותפה בקבלת החלטות,B
33,ניהול עסק,מבין הגורמים המשפיעים על טווח השליטה והפיקוח נמצא את הגורם הבא:,מוסר העבודה של העובדים,סכום התקציב של הארגון,שיטת הפרסום והתעמולה,שירותי העזר המקומיים,A
34,ניהול עסק,אגודה שיתופית היא:,גוף ציבורי המרכז את כל הסמכויות בידי ההנהלה,גוף שמטרתו לספק שירותים לאזרח,גוף הפועל על עקרונות של שיתוף ועזרה הדדית,חברה בה חברי החברה אחראים לחובות החברה,C
35,ניהול עסק,חלוקת הארגון ליחידות (עפ״י הסדר ההיררכי) היא:,"אגף, חטיבה, מחלקה, מדור","מדור, אגף, חטיבה, מחלקה","אגף, מדור, מחלקה, חטיבה"," חטיבה, מחלקה, מדור, אגף",A
36,ניהול עסק,אחידות הפיקוד:,ארגון חייב להתנהל על ידי מנהל אחד,ארגון חייב להתנהל על ידי מספר מנהלים,לכל עובד יהיה מנהל ישיר אחד בלבד,לכל מנהל יהיה כפוף אחד בלבד,C
37,ניהול עסק,חברה בע״מ:,ארגון חייב להתנהל על ידי מנהל אחד,ארגון חייב להתנהל על ידי מספר מנהלים,לכל עובד יהיה מנהל ישיר אחד בלבד,לכל מנהל יהיה כפוף אחד בלבד,C
38,ניהול עסק,אגודה שיתופית:,גוף ציבורי המרכז את כל הסמכויות בידי ההנהלה,גוף שמטרתו לספק שירותים לאזרח,גוף הפועל על עקרונות של שיתוף ועזרה הדדית,חברה בה חברי החברה אחראים לחובות החברה,A
39,ניהול עסק,השפעה:,"יכולת להביא אדם לשינוי עמדה, התנהגות, בדרך של שכנוע",יכולת לשלוט בעובדים,יכולת להשיג ציות,יכולת להביא אדם למלא את רצונות של הזולת דם נגד רצונו הוא,C
40,ניהול עסק,עוצמה:,"יכולת להביא אדם לשינוי עמדה, התנהגות, בדרך של שכנוע",יכולת לשלוט בעובדים,יכולת להשיג ציות,יכולת להביא אדם למלא את רצונות של הזולת דם נגד רצונו הוא,D
41,ניהול עסק,מקורות העוצמה:,אישיות סמכותית וכושר מנהיגות,"מערכת שרים אישיים בארגון, גישה למקורות אינפורמציה",קירבה למוקדי השפעה בארגון,כל התשובות נכונות,D
42,ניהול עסק,אחריות:,מסירת דין וחשבון לכפופים,מסירת דין וחשבון לממונים,מסירת אינפורמציה לממונים,מסירת הוראות לעובדים,A
43,ניהול עסק,ריכוז:,ריכוז הסמכויות בידי ההנהלה,ריכוז הסמכויות בידי העובדים,העברת חלק מתפקידי המנהל לכפופים,העברת חלק מתפקידי העובד למנהל,C
44,ניהול עסק,מבנה פורמלי,מערכת קשרים אישית בין ההנהלה לעובדים,מערכת קשרים חברתיים בין העובדים,מבנה המבוסס על חלוקת עבודה ותפקידים מוגדרים,מבנה המבוסס על מערכת קשרים חברתיים ואקראיים,C
45,ניהול עסק,מבנה אפורמלי,מערכת קשרים אישית בין ההנהלה לעובדים,מערכת קשרים חברתיים בין העובדים,מבנה המבוסס על חלוקת עבודה ותפקידים מוגדרים,מבנה המבוסס על מערכת קשרים חברתיים ואקראיים,D
46,ניהול עסק,ארגון עסקי,ארגון הפועל בהתנדבות,ארגון המספק שירות לאזרח,ארגון הפועל למטרות רווח,ארגון בבעלות אנשים פרטיים,C
47,שיטות כמותיות ועקרונות לחישוב תמחיר הובלה,מהי הגדרת תמחיר?,הערכת עלות כוללת לשירות הובלה,תחשיב ההכנסות הפוטנציאליות של העסק,שיטה למדידת רווחיות בלבד,תקציב שנתי לניהול העסק,A
48,שיטות כמותיות ועקרונות לחישוב תמחיר הובלה,מהם סוגי העלויות המרכזיים בתמחיר הובלה,עלויות הובלה ועלויות תחזוקה,עלויות קבועות ועלויות משתנות,עלויות זמן ועלויות קילומטר,עלויות תפעול ועלויות ניהול,B
49,שיטות כמותיות ועקרונות לחישוב תמחיר הובלה,איזו שיטה מתאימה להובלות המושפעות בעיקר מהזמן?,שיטת עלות ממוצעת ,שיטת תמחור לפי זמן,שיטת תמחור לפי סוג המטען,שיטת פלוס רווח ,B
50,שיטות כמותיות ועקרונות לחישוב תמחיר הובלה,כיצד מחושב תמחיר לפי קילומטר?,מחיר = עלות לשעה * מספר השעות,מחיר = עלות לקילומטר * מספר הקילומטרים,מחיר = עלות ממוצעת של כלל הנסיעות,מחיר = עלות כוללת + אחוז רווח,B
51,שיטות כמותיות ועקרונות לחישוב תמחיר הובלה,מהו יתרון מרכזי של שיטת פלוס רווח?,פשטות בתמחור,שמירה על רווחיות קבועה,התאמה להובלות קצרות בלבד,חישוב לפי שעות עבודה,B
52,שיטות כמותיות ועקרונות לחישוב תמחיר הובלה,איזו גורם אינו משפיע על עלות ההובלה?,תחזוקה ובלאי,כוח אדם,כמות ההובלות החודשיות,ביטוח ותשלומים נוספים,C
53,שיטות כמותיות ועקרונות לחישוב תמחיר הובלה,מהי נוסחת חישוב לפי עלות ממוצעת?,עלות ממוצעת = סך כל העלויות/ מספר ההובלות,עלות ממוצעת = עלות לקילומטר * מספר הקילומטרים,עלות ממוצעת = עלות לשעה * מספר השעות,עלות ממוצעת = עלות כוללת + אחוז רווח,A
54,שיטות כמותיות ועקרונות לחישוב תמחיר הובלה,איזו שיטה מתאימה להובלות בעלות אופי קבוע?,שיטת עלות בסיסית,שיטת תמחור לפי זמן,שיטת פלוס רווח,שיטת תמחור לפי נפח,A
55,שיטות כמותיות ועקרונות לחישוב תמחיר הובלה,מהי מטרת התמחיר התחרותי?,שיפור רווחיות קבועה,הגדלת כמות ההובלות,התאמת התמחור לשוק ולתחרות, הפחתת עלויות קבועות,C
56,שיטות כמותיות ועקרונות לחישוב תמחיר הובלה,איזה כלי דיגיטלי מסייע בתהליך התמחור?,מערכת ניהול להובלות,תוכנות לניהול כוח אדם,מערכות בקרת מלאי,כלי שיווק דיגיטליים,A
57,שינוע חומ״ס,מי רשאי לנהוג ברכב מורשה להובלת חומ״ס?,נהג שעבר בהצלחה קורס טיפול בחומ״ס,נהג בעל רישיון נהיגה תקף,נהג במצב בריאות תקין,כל התשובות נכונות,D
58,שינוע חומ״ס,מה צריך להיות ברכב כאשר מובילים חומ״ס?,שמשות הרכב תקינות,גלגל נוסף (רזרבי) תקין,"דלק, רישיונות בתוקף, כרטיס בטיחות לחומר מוביל",פנס מהבהב תקין,C
59,שינוע חומ״ס,כמה נוסעים מותר להסיע ברכב המוביל חומ״ס?,לפי הרשום ברישיון הרכב,אסור להסיע נוסעים ברכב המוביל חומ״ס,לפי מספר כיסאות הישיבה,נוסע אחד - עוזר נהג (סבל) בלבד,B
60,שינוע חומ״ס,מתי מותר לתדלק רכב המוביל חומ״ס?,רק כאשר המטען קשור טוב,רק כאשר המטען מוביל במכולה,רק במכלית המובילה חומרים מעורבים,אסור לתדלק עם מטען חומ״ס,D
61,שינוע חומ״ס,האם מלגזן ו/או כל אדם אחר רשאי לפרוק מטען חומ״ס?,רק מלגזן בכל רישיון מלגזה,אין להתחיל הפריקה לפני הנהג/ האחראים במקום,רק במחסן המיועד ומורשה לחומ״ס,כל התשובות נכונות,D
62,שינוע חומ״ס,מהו מטען מעורב?,זהו מטען של יחידות שונות וחומרים שונים,זהו מטען מעורב שמובילים אותו במיכלית תערובות,אלו יחידות שהתבש סדר העמסתן,בטון מובא המובל במערבל מכונה מטען מעורב,A
63,שינוע חומ״ס,מה חשוב לעשות לפני טעינת דלק במיכלית?,לשחרר את שסתומי הביטחון,לשטוף את המיכלית במים,לבדוק לחץ אוויר בגלגלים,לחבר את כבל ההארקה,D
64,שינוע חומ״ס,במקרה של תאונה שבה מעורב רכב המשנע חומ״ס דליק:,אסור להפעיל מכשירי קשר וטלפונים,יש להרחיק את האנשים מהתאונה,יש להשתמש בציוד הבטיחות,כל התשובות נכונות,D
65,שינוע חומ״ס,מה אומר שלט הוריה (תמרור) 68 ב׳?,הכניסה למשאיות בלבד,הכניסה למשאיות אסורה,אין כניסה לכל סוגי רכב המוביל חומ״ס,אין משמעות לרכב המוביל חומ״ס,D
66,שינוע חומ״ס,מה מספר מתקני השילוט שאמורים להיות ברכב המוביל חומ״ס?,מתקן 2 מאחור בלבד,מתקן מלפנים בלבד,אין צורך במתקני שילוט,3 מתקני שילוט מצידי המשאית ומאחור,D
67,שמאות רכב וביטוח,פרט עיסוקים אסורים על השמאי,מותר לשמאי רכב לעסוק בכל מקצוע בנוסף לשמאות רכב,אסור לשמאי רכב לעסוק באף מקצוע אחר אלא רק בשמאות רכב,"עיסוקים בביטוח, תיווך ומכירת רכב, מנהל מקצועי במוסך, קצין בטיחות, כל עיסוק העלול להעמיד את השמאי בניגוד עניינים",מותר לעסוק רק בשמאות רכב ועסקי ביטוח,C
68,שמאות רכב וביטוח,למי מותר לעסוק בשמאות רכב?,כל אחד,רק מי שהגדיר את עצמו שמאי רכב,כל שמאי רכוש יכול לעסוק גם בשמאות רכב,לא יעסוק אדם בשמאות רכב אלה אם רשום בפנקס שמאי הרכב ובידו תעודה בתוקף,D
69,שמאות רכב וביטוח,בהאם מותר להשתמש בחלק משומש ברכב בן 23 חודשים?,"כן, בלי קשר למצבו","כן, רק חלק תקין שלא בוצע בן תיקונים קודמים","לא, עד 24 חודשים - חלקים חדשים בלבד",תלוי בחלאת שמאי הרכב,C
70,שמאות רכב וביטוח,מהו נזק גולמי?,הנזק הגולמי יחושב לפי שווי כלי הרכב על פי המחירון המקובל של הדגם ללא תוספות ואביזרים שהותקנו ברכב,נזק לרכב כתוצאה מאירוע תאונתי,"אין דבר כזה נזק גולמי, הנזק הינו נזק ממשי שנבדק על ידי השמאי",הנזק הגולמי מחושב מערכו המשוכלל של הרכב לפי המחירון המקובל של הדגם,A
71,שמאות רכב וביטוח,הגדרת אובדן גמור מהי?,רכב ששמאי רכב קבע לגביו שהוא יצא מכלל שימוש או שהנזק הגולמי בו הוא 60% ומעלה משווי הרכב,רכב ששמאי החליט להוריד מהכביש,רכב שעבר תאונה קשה והביטוח החליט להשבית,אין דבר כזה רכב באובדן גמור יש רק אובדן גמור להלכה,A
72,שמאות רכב וביטוח,מהי פוליסה לא תקנית?,פוליסה לא תקנית היא פוליסה לא חוקית,פוליסה לא תקנית מיועדת בכלל לביטוח רכוש דירות ועסקים,לא קיים מושג כזה,כיסוי שמגן על נזקים או אובדן של מטען שנמצא בתוך המשאית בזמן ההובלה,D
73,שמאות רכב וביטוח,מהי השתתפות עצמית בביטוח הרכב?,"השתתפות עצמית היא הסכום שהמבוטח משלם במקרה של תביעה, לפני שחברת הביטוח מכסה את השאר",השתתפות עצמית זה סכום שמוסיפים לפוליסה עבור ירידת ערך,השתתפות עצמית אינה קיימת בביטוח רכב אלא בביטוח רכוש בלבד,השתתפות עצמית יש רק בפיצוי עבור ירידת ערך,C
74,שמאות רכב וביטוח,"מה ההבדל בין ביטוח חובה, מקיף וצד ג׳?",כן,לא ,אין חיוב חוקתי,תקנה 581ג,D
75,שמאות רכב וביטוח,האם חברת השכרה מחויבת בקצב״ת ובדיקת רכבים?,"אין הבדל, ביטוח זה ביטוח",ביטוח חובה ומקיף זה מה שצריך בביטוח רכב,ביטוח חובה מכסה נזקי גוף בתאונה. ביטוח מקיף מכסה נזקי רכוש לרכב המבוטח ולצדדים אחרים בעוד ביטוח צד ג׳ מכסה רק נזקים לצד שלישי,"ביטוח חובה הגדרה שהמדינה מחייבת, ביטוח מקיף מכסה נזקי רכוש לרכב המבוטח ולצדדים אחרים, בעוד ביטוח צד ג׳ מכסה רק נזקים לצד שלישי.",B
76,שמאות רכב וביטוח,מהו ביטוח חובה?,ביטוח חובה - הגדרה שהמדינה מחייבת,ביטוח חובה מכסה את החבות של חברת הביטוח לפי המפורט בפוליסה,ביטוח חובה מכסה נזקים של רכב צד ג׳ וגניבה,ביטוח שמכסה נזקי גוף בתאונות דרכים,A
77,תפקידי קצין בטיחות (קצב״ת),מי מי אחראי בבטיחות ההובלה מלבד הקצב״ת?,הנהג ,הסדרן,מי שהסמיכו לכך לפי סעיף 16,הנהג אחראי על הרכב וגם ממונה בטיחות,C
78,תפקידי קצין בטיחות (קצב״ת),את מה מגדירה תקנה 585?,תקנות התעבורה,תקנות הובלת מטענים,תפקידיו של הקצב״ת,אחריות מטענים,C
79,תפקידי קצין בטיחות (קצב״ת),אחת לכמה זמן נבדק רכב ע״י קצב״ת?,כל 45 יום,כל 20 יום,אין הגדרה בחוק,כל השבוע,B
80,תפקידי קצין בטיחות (קצב״ת),האם רשאי קצב״ת לפסול את הנהיגה ברכב?,כן,לא,אסור למנוע מרכב לנוע בכביש,"כן, בהתאם לנקות ועל פי דוח קצב״ת",D
81,תפקידי קצין בטיחות (קצב״ת),האם לקצב״ת מותר להעביר מידע אישי של הנהג לגורם כזה או אחר או שימוש לא נכון?,כן,לא,לקצב״ת אין גישה לתיק הנהג,אסור. המידע אינו ניתן להעברה,D
82,תפקידי קצין בטיחות (קצב״ת),מי אחראי בחברה על הדרכת נהגים?,בעל הבית,הסדרן,קצין הבטיחות או אדם מטעמו המאושר ללמד לפי סוג רישיון הרכב,בעל הרכב,C
83,תפקידי קצין בטיחות (קצב״ת),האם ראשי בעל מפעל לתת לנהג לנהוג ברכב טרם פגש קצין בטיחות?,בעל מפעל אסור לו לתת לנהג לעלות לרכב טרם פגש קצב״ת,קצין בטחיות לא מחליט,"כן, אפשר",קצין הבטיחות אחראי רק על תקינות המשאית,A
84,תפקידי קצין בטיחות (קצב״ת),האם קצב״ת חייב להודיע לרשות על אופן סיום העסקתו במפעל?,כן,לא,אין חיוב חוקתי,תקנה 581ג,D
85,תפקידי קצין בטיחות (קצב״ת),האם חברת השכרה מחויבת בקצב״ת ובדיקת רכבים?,"א. כן, אחת ל- 6 שנים","הרכבים עומדים, אין צורך","לא, אין חיוב","הרכבים לא נמצאים במגרש, לכן פטור",A
86,תפקידי קצין בטיחות (קצב״ת),אחת לכמה זמן יש לשמור דיסקים של טכוגרף?,כמו שכתוב בתקנות,לתקופה של 180 יום,לתקופה של 168 יום,אין חיוב לשמור דיסקים,B
87,תפקידיו של המנהל המקצועי וארגונים בענף ההובלה,על מי מוטלת האחריות לגבי שעות נהיגה ומנוחה של הנהג?,על קצין הבטיחות בלבד,על הסדרן בלבד,על הנהג המבצע בלבד,על כל בעלי התפקידים הקשורים בשילוח הנהג,D
88,תפקידיו של המנהל המקצועי וארגונים בענף ההובלה,האם מנהל מקצועי יוכל לאשר העמסה מעל המשקל המותר?,רק לקצין הבטיחות מותר,בתנאי שהמטען לא בולט מדפנות הרכב,אסור למנהל המקצועי לאשר העמסה בניגוד לרישיון הרכב,כל התשובות נכונות,C
89,תפקידיו של המנהל המקצועי וארגונים בענף ההובלה,איזה מהגופים חוק שירותי ההובלה לא חל עליהם?,קיבוץ,מחסן פרטי לחומרי בניין,חברה בע״מ,שירות בתי הסוהר,D
90,תפקידיו של המנהל המקצועי וארגונים בענף ההובלה,חלק מהדרישות הנדרשות מהמנהל המקצועי לקבלת הסמכה הן:,תושב ישראל,בעל ניסיון של שנתיים לפחות בתפקיד ארגוני בתחום ההובלה,אדם בעל תואר במנהל עסקים,רק תשובות א׳ ו-ב׳ נכונות,D
91,תפקידיו של המנהל המקצועי וארגונים בענף ההובלה,ניתן לתבוע באופן אישי מנהל משרד הובלה של חברה בע״מ במקרים הבאים:,נדרש מהנהגים לעבוד מעל שעות העבודה המותרות,מודע להעמסת יתר מעל המשקל המותר,אפשר לנהגים לנהוג ברכב לא תקין,כל התשובות נכונות,D
92,"דיני תעבורה, עבודה ועסקים",כיצד מוגדר הטכוגרף עפ״י פקודת התעבורה:,מד מהירות,כלי אכיפה משטרתי,"מכשיר המותקן הרכב ומיועד לסמן או לרשום את היות הרכב במצב נסיעה או עצירה וכן את מרחק הנסיעה, את מהירות הנסיעה ואת זמן הנהיגה של הנוהג ברכב",איו הגדרה לטכוגרף בפקודת התעבורה,C
93,"דיני תעבורה, עבודה ועסקים",איזה מהמשפטים הבאים נכון?,תניה בהסכם עבודה אישי הסותרת הסכם קיבוצי היא חוקית,תניה בהסכם עבודה אישי הסותרת הסכם קיבוצי היא אינה חוקית ובטלה בכל מצב,תניה בהסכם עבודה אישי הסותרת הסכם קיבוצי היא אינה חוקית אבל ניתן להתגבר עליה בהסכמת הצדדים,אין מניעה חוקית לתניה בהסכם עבודה אישית הסותרת הסכם קיבוצי,B
94,"דיני תעבורה, עבודה ועסקים",מהי מטרתו של חוק רישוי עסקים?,התנהלות כלכלית נכונה,שמירה על בטיחות הנמצאים במקום העסק או בסביבתו,אף תשובה אינה נכונה,תשובות א׳ ו-ב׳ נכונות,D
95,"דיני תעבורה, עבודה ועסקים",כל כמה זמן עפ״י חוק יש להחליף את הדיסקה של הטכוגרף?,כל 14 שעות,כל 12 שעות,אין צורך בהחלפת דיסקה כלל,כל 24 שעות ,D
96,"דיני תעבורה, עבודה ועסקים",הקיפו את התשובה הנכונה ביותר?,עפ״י תקנה 168 נהג לא יתחיל את עבודתו אלא אחרי מנוחה שמחוץ לעבודה במשך 10 שעות רצופות לפחות ולא ינהג יותר מ-8 שעות בכל תקופה של 24 שעות ולא יותר מ-55 שעות בכל תקופה של 7 ימים,עפ״י תקנה 168 נהג לא יתחיל את עבודתו אלא אחרי מנוחה שמחוץ לעבודה במשך 7 שעות רצופות לפחות ולא ינהג יותר מ-12 שעות בכל תקופה של 24 שעות ולא יותר מ-68 שעות בכל תקופה של 7 ימים,תקנה 168 אינה מגבילה את הנהג מבחינת שעות נהיגה ו/או שעות מנוחה,עפ״י תקנה 168 נהג לא יתחיל את עבודתו אלא אחרי מנוחה שמחוץ לעבודה במשך 4 שעות רצפות לפחות ולא ינהג יותר מ-6 שעות בכל תקופה של 24 שעות ולא יותר מ-40 שעות בכל תקופה של 7 ימים,B
97,"דיני תעבורה, עבודה ועסקים",מהי מטרתו של חוק שירותי הובלה?,הגנת הצרכן,בחוק שירותי הובלה לא הוגדרה מטרה,כל התשובות נכונות,"הגברת הבטיחות בהפעלת רכב מסחרי ובמתן שירותי הובלה, הגנה על הצרכן ושמירה על איכות הסביבה",D
98,"דיני תעבורה, עבודה ועסקים",האם ניתן להגביל עובד במסגרת הסכם עבודה אישי מלעבוד אצל מעסיק לאחר סיום עבודתו?,בהחלט כן וללא הגבלה,ניתן להגביל עובד במסגרת הסכם עבודה אישי מלעבוד אצל מעסיק אחר לאחר סיום עבודתו ובלבד שההגבלה מינמלית ומידתית,אסור,אף תשובה אינה נכונה,B
99,"דיני תעבורה, עבודה ועסקים",מה מבין המשפטים הבאים נכון:,על מנהלים חלה אחריות פלילית רגילה ובנוסף אחריות שילוחית, על מנהלים חלה אחריות פלילית רגילה בלבד,מנהלים אינם חבים באחריות כלל,אף תשובה אינה נכונה,A
100,"דיני תעבורה, עבודה ועסקים",מי רשאי עפ״י חוק ובכל עת לבדוק רכב ו/או להזמינו לבדיקה:,בוחן הנושא עימו תעודת בוחן של רשות הרישוי,שוטר הנושא עימו תעודת בוחן תנועה של המשטרה,תשובות א׳ ו-ב׳ נכונות,אף תשובה אינה נכונה,C
101,"דיני תעבורה, עבודה ועסקים",סמן את התשובה הנכונה,בעל מפעל יכין אחת לשנתיים תוכנית הדרכות מקצועיות,בעל מפעל יכין אחת לשנה תוכנית הדרכות מקצועיות,בעל מפעל אינו מחויב כלל בהכנת תוכניות הדרכה,כל התשובות נכונות,B
